iter	Passed	Remaining
1010	56726	223819
1011	56783	223768
1012	56840	223713
1013	56896	223657
1014	56951	223599
1015	57011	223556
1016	57069	223506
1017	57126	223453
1018	57183	223402
1019	57240	223349
1020	57303	223320
1021	57361	223272
1022	57419	223223
1023	57557	223483
1024	57616	223440
1025	57669	223372
1026	57723	223306
1027	57780	223254
1028	57836	223196
1029	57898	223162
1030	57958	223121
1031	58013	223059
1032	58069	223002
1033	58128	222957
1034	58183	222895
1035	58243	222855
1036	58303	222812
1037	58360	222759
1038	58416	222702
1039	58472	222646
1040	58536	222617
1041	58593	222564
1042	58650	222512
1043	58708	222461
1044	58765	222409
1045	58823	222360
1046	58878	222297
1047	58934	222240
1048	58990	222184
1049	59049	222137
1050	59109	222098
1051	59168	222051
1052	59224	221992
1053	59311	222053
1054	59395	222099
1055	59530	222338
1056	59595	222311
1057	59654	222264
1058	59719	222242
1059	59776	222186
1060	59835	222140
1061	59893	222089
1062	59963	222085
1063	60023	222040
1064	60080	221986
1065	60137	221934
1066	60196	221885
1067	60254	221834
1068	60312	221784
1069	60368	221728
1070	60424	221669
1071	60485	221631
1072	60544	221583
1073	60602	221532
1074	60657	221469
1075	60712	221410
1076	60769	221352
1077	60824	221294
1078	60884	221251
1079	60943	221201
1080	61002	221153
1081	61060	221104
1082	61116	221045
1083	61171	220986
1084	61228	220930
1085	61286	220880
1086	61345	220832
1087	61401	220774
1088	61458	220718
1089	61515	220666
1090	61571	220606
1091	61627	220549
1092	61680	220482
1093	61737	220428
1094	61797	220381
1095	61855	220331
1096	61913	220282
1097	61970	220225
1098	62030	220183
1099	62088	220131
1100	62144	220075
1101	62202	220023
1102	62257	219962
1103	62313	219905
1104	62372	219857
1105	62430	219805
1106	62491	219764
1107	62549	219713
1108	62607	219661
1109	62665	219610
1110	62723	219561
1111	62780	219505
1112	62834	219439
1113	62890	219382
1114	62946	219326
1115	63002	219265
1116	63060	219215
1117	63119	219167
1118	63175	219110
1119	63233	219059
1120	63287	218994
1121	63343	218937
1122	63402	218889
1123	63562	219187
1124	63621	219140
1125	63679	219087
1126	63755	219098
1127	63814	219050
1128	63873	219001
1129	63932	218955
1130	63997	218927
1131	64066	218912
1132	64128	218874
1133	64190	218837
1134	64248	218786
1135	64305	218730
1136	64361	218671
1137	64417	218612
1138	64472	218550
1139	64531	218501
1140	64588	218446
1141	64659	218437
1142	64717	218385
1143	64770	218317
1144	64829	218269
1145	64889	218224
1146	64953	218193
1147	65010	218135
1148	65072	218097
1149	65126	218033
1150	65183	217975
1151	65240	217922
1152	65297	217864
1153	65354	217811
1154	65414	217766
1155	65477	217729
1156	65532	217668
1157	65591	217619
1158	65649	217568
1159	65708	217518
1160	65763	217455
1161	65818	217393
1162	65876	217340
